model,n_experts,top_k,size,gini,entropy_sparsity,effective_experts,concentration_ratio,mean_selectivity,specialization_rate
Switch-8,8,1,220M,0.12184583424714313,0.011686264413543035,7.807935887841915,0.1803189804322928,0.2479126260826972,0.0
Qwen-MoE,60,4,2.7B active,0.03789989542427863,0.0005656469361499106,59.86120357763517,0.11359448807694499,0.24680612520381945,0.0
DeepSeek-16B,64,6,16B,0.2465613899707053,0.024216107088705585,57.868380221570725,0.16513240707015048,0.24376392410020611,0.0
